he4_theta,p_theta
5.51884,73.7286
5.5354,73.6785
5.55194,73.6284
5.56849,73.5783
5.58502,73.5282
5.60155,73.4782
5.61807,73.4281
5.63459,73.378
5.6511,73.328
5.6676,73.2779
5.6841,73.2278
5.70059,73.1778
5.71708,73.1278
5.73356,73.0777
5.75003,73.0277
5.7665,72.9777
5.78295,72.9276
5.79941,72.8776
5.81585,72.8276
5.8323,72.7776
5.84873,72.7276
5.86516,72.6776
5.88158,72.6276
5.89799,72.5777
5.9144,72.5277
5.9308,72.4777
5.94719,72.4277
5.96359,72.3778
5.97996,72.3278
5.99634,72.2779
6.01271,72.2279
6.02907,72.178
6.04542,72.1281
6.06177,72.0781
6.07811,72.0282
6.09445,71.9783
6.11077,71.9284
6.1271,71.8785
6.14341,71.8286
6.15972,71.7787
6.17601,71.7288
6.19231,71.679
6.20859,71.6291
6.22488,71.5792
6.24114,71.5294
6.25741,71.4795
6.27367,71.4297
6.28992,71.3798
6.30616,71.33
6.3224,71.2801
6.33863,71.2303
6.35485,71.1805
6.37106,71.1307
6.38728,71.0809
6.40347,71.0311
6.41967,70.9813
6.43585,70.9315
6.45204,70.8817
6.4682,70.8319
6.48437,70.7822
6.50053,70.7324
6.51668,70.6826
6.53282,70.6329
6.54896,70.5831
6.56508,70.5334
6.5812,70.4837
6.59731,70.4339
6.61342,70.3842
6.62951,70.3345
6.64561,70.2848
6.66169,70.2351
6.67776,70.1854
6.69383,70.1357
6.70989,70.086
6.72594,70.0363
6.74199,69.9867
6.75802,69.937
6.77405,69.8873
6.79007,69.8377
6.80608,69.788
6.82209,69.7384
6.83809,69.6888
6.85407,69.6391
6.87006,69.5895
6.88603,69.5399
6.902,69.4903
6.91795,69.4407
6.9339,69.3911
6.94984,69.3415
6.96578,69.2919
6.9817,69.2424
6.99762,69.1928
7.01353,69.1432
7.02944,69.0937
7.04532,69.0441
7.06121,68.9946
7.07709,68.945
7.09296,68.8955
7.10882,68.846
7.12467,68.7965
7.14051,68.747
7.15635,68.6974
7.17218,68.648
7.188,68.5985
7.20381,68.549
7.21961,68.4995
7.2354,68.45
7.25119,68.4006
7.26697,68.3511
7.28274,68.3016
7.2985,68.2522
7.31425,68.2028
7.32999,68.1533
7.34573,68.1039
7.36145,68.0545
7.37717,68.0051
7.39288,67.9557
7.40858,67.9063
7.42427,67.8569
7.43996,67.8075
7.45563,67.7581
7.4713,67.7088
7.48695,67.6594
7.5026,67.61
7.51823,67.5607
7.53387,67.5113
7.54948,67.462
7.5651,67.4127
7.5807,67.3634
7.5963,67.314
7.61188,67.2647
7.62746,67.2154
7.64302,67.1661
7.65859,67.1168
7.67413,67.0676
7.68968,67.0183
7.7052,66.969
7.72073,66.9198
7.73624,66.8705
7.75174,66.8213
7.76723,66.772
7.78272,66.7228
7.79819,66.6736
7.81366,66.6244
7.82912,66.5751
7.84457,66.5259
7.86,66.4767
7.87544,66.4275
7.89085,66.3784
7.90627,66.3292
7.92166,66.28
7.93706,66.2309
7.95244,66.1817
7.96781,66.1326
7.98317,66.0834
7.99853,66.0343
8.01387,65.9852
8.0292,65.936
8.04452,65.8869
8.05984,65.8378
8.07514,65.7887
8.09044,65.7396
8.10572,65.6906
8.121,65.6415
8.13626,65.5924
8.15152,65.5434
8.16676,65.4943
8.18201,65.4453
8.19723,65.3962
8.21245,65.3472
8.22765,65.2982
8.24285,65.2491
8.25803,65.2001
8.27321,65.1511
8.28837,65.1021
8.30353,65.0532
8.31867,65.0042
8.33382,64.9552
8.34894,64.9062
8.36406,64.8573
8.37916,64.8083
8.39426,64.7594
8.40934,64.7105
8.42441,64.6615
8.43947,64.6126
8.45453,64.5637
8.46957,64.5148
8.48461,64.4659
8.49963,64.417
8.51464,64.3681
8.52964,64.3192
8.54463,64.2704
8.55961,64.2215
8.57459,64.1727
8.58954,64.1238
8.60449,64.075
8.61943,64.0261
8.63436,63.9773
8.64927,63.9285
8.66418,63.8797
8.67907,63.8309
8.69396,63.7821
8.70883,63.7333
8.7237,63.6845
8.73854,63.6358
8.75339,63.587
8.76822,63.5383
8.78304,63.4895
8.79784,63.4408
8.81265,63.392
8.82743,63.3433
8.84221,63.2946
8.85697,63.2459
8.87173,63.1972
8.88646,63.1485
8.9012,63.0998
8.91591,63.0511
8.93063,63.0025
8.94532,62.9538
8.96001,62.9051
8.97468,62.8565
8.98935,62.8079
9.004,62.7592
9.01864,62.7106
9.03327,62.662
9.04789,62.6134
9.06249,62.5648
9.07709,62.5162
9.09167,62.4676
9.10625,62.419
9.1208,62.3705
9.13536,62.3219
9.14989,62.2734
9.16442,62.2248
9.17893,62.1763
9.19344,62.1277
9.20792,62.0792
9.22241,62.0307
9.23687,61.9822
9.25133,61.9337
9.26577,61.8852
9.28021,61.8367
9.29462,61.7883
9.30904,61.7398
9.32343,61.6913
9.33782,61.6429
9.35218,61.5945
9.36655,61.546
9.38089,61.4976
9.39523,61.4492
9.40955,61.4008
9.42387,61.3524
9.43816,61.304
9.45246,61.2556
9.46673,61.2072
9.481,61.1588
9.49524,61.1105
9.50948,61.0621
9.52371,61.0138
9.53793,60.9654
9.55212,60.9171
9.56632,60.8688
9.58049,60.8205
9.59466,60.7722
9.6088,60.7239
9.62295,60.6756
9.63707,60.6273
9.65119,60.579
9.66528,60.5308
9.67938,60.4825
9.69345,60.4343
9.70752,60.386
9.72156,60.3378
9.73561,60.2896
9.74963,60.2413
9.76365,60.1931
9.77764,60.1449
9.79163,60.0967
9.8056,60.0486
9.81957,60.0004
9.83351,59.9522
9.84745,59.9041
9.86137,59.8559
9.87528,59.8078
9.88917,59.7596
9.90306,59.7115
9.91692,59.6634
9.93079,59.6153
9.94462,59.5672
9.95846,59.5191
9.97227,59.471
9.98608,59.4229
9.99987,59.3749
10.0136,59.3268
10.0274,59.2788
10.0412,59.2307
10.0549,59.1827
10.0686,59.1347
10.0823,59.0866
10.096,59.0386
10.1097,58.9906
10.1234,58.9426
10.137,58.8947
10.1507,58.8467
10.1643,58.7987
10.1779,58.7507
10.1915,58.7028
10.2051,58.6549
10.2187,58.6069
10.2322,58.559
10.2458,58.5111
10.2593,58.4632
10.2728,58.4153
10.2863,58.3674
10.2998,58.3195
10.3133,58.2716
10.3268,58.2238
10.3402,58.1759
10.3536,58.128
10.3671,58.0802
10.3805,58.0324
10.3939,57.9845
10.4072,57.9367
10.4206,57.8889
10.434,57.8411
10.4473,57.7933
10.4606,57.7455
10.4739,57.6978
10.4872,57.65
10.5005,57.6022
10.5137,57.5545
10.527,57.5068
10.5402,57.459
10.5535,57.4113
10.5667,57.3636
10.5798,57.3159
10.593,57.2682
10.6062,57.2205
10.6193,57.1728
10.6325,57.1251
