# p_theta,sigma
44.5,-0.017708315
54.5,-0.017708315
55.5,-0.017708315
56.5,-0.019507575
57.5,0.03864377
58.5,0.032857165
59.5,0.0298103
60.5,0.047600325
61.5,0.1194338
62.5,0.09214375
63.5,0.0911671
64.5,0.09645605
64.9,0.0427365
65.1,0.03473195
65.5,0.05298345
66.5,0.0381455
67.5,0.0191163
68.5,0.0191163
69.5,0.0191163
70.5,0.0191163
71.5,0.0191163
75.5,0.0191163
