# tgtR,Nbeam
1,1.45923e+09
2,4.82767e+09
3,1.03133e+10
4,1.61821e+10
5,2.2867e+10
6,2.99344e+10
7,3.51862e+10
8,3.97872e+10
9,4.37403e+10
10,4.69076e+10
11,4.94345e+10
12,5.14235e+10
13,5.31014e+10
14,5.45299e+10
15,5.56687e+10
16,5.66951e+10
17,5.76375e+10
18,5.8428e+10
19,5.9156e+10
20,5.97768e+10
21,6.03845e+10
22,6.09301e+10
23,6.1427e+10
24,6.18826e+10
