#nai_id,c(const),k(slope)
0,0.037708,-0.00172955
1,-0.0126583,-0.00102567
2,0.660026,-0.0113015
3,0.56979,-0.00986777
4,0.69958,-0.0116315
5,0.435584,-0.00793168
6,-0.213505,0.00216958
