tke,eff_theta,meas_theta,de_target,de_chamber,de_air
223.567,49,48.7486,1.11322,0.0475713,0.412372
218.559,49.5,49.2454,1.13056,0.0483013,0.417703
213.587,50,49.7422,1.14777,0.0490259,0.423049
208.655,50.5,50.2388,1.16484,0.0497448,0.428319
203.763,51,50.7354,1.18178,0.0504579,0.433607
198.911,51.5,51.2318,1.30003,0.0511714,0.439774
194.102,52,51.7282,1.32196,0.0520469,0.446417
189.336,52.5,52.2244,1.3437,0.0529146,0.453062
184.614,53,52.7206,1.36523,0.0537742,0.459613
179.936,53.5,53.2167,1.38723,0.0546732,0.466648
175.306,54,53.7126,1.41258,0.0556659,0.474387
170.723,54.5,54.2084,1.43781,0.0566644,0.482199
166.186,55,54.704,1.5792,0.0576532,0.490883
161.699,55.5,55.1995,1.60946,0.0587108,0.499282
157.261,56,55.6949,1.64136,0.0598978,0.508828
152.874,56.5,56.1901,1.67342,0.0610735,0.518239
148.538,57,56.6852,1.70767,0.0623384,0.528463
144.253,57.5,57.1802,1.74381,0.0636258,0.538896
140.022,58,57.6748,1.90828,0.0649153,0.5505
135.844,58.5,58.1694,1.9511,0.0663948,0.562543
131.72,59,58.6638,1.99341,0.0678714,0.574812
127.651,59.5,59.158,2.04114,0.069533,0.588621
123.638,60,59.652,2.08958,0.0711726,0.602095
119.68,60.5,60.1455,2.28353,0.0728791,0.617603
115.779,61,60.639,2.34136,0.0747256,0.633108
111.936,61.5,61.1323,2.39847,0.0765877,0.648853
108.151,62,61.6253,2.46429,0.0787108,0.666837
104.424,62.5,62.1177,2.6914,0.0807381,0.685151
100.756,63,62.6101,2.76431,0.0830353,0.705031
97.1482,63.5,63.1022,2.84578,0.0854953,0.725917
93.6003,64,63.5935,3.10046,0.0878642,0.747709
90.113,64.5,64.0849,3.19323,0.090742,0.772846
86.6868,65,64.5758,3.2971,0.0936508,0.797797
83.3221,65.5,65.0658,3.59102,0.0965459,0.825173
80.0194,66,65.5557,3.70982,0.100046,0.855467
76.7791,66.5,66.0452,3.83783,0.103491,0.88552
73.6017,67,66.5334,4.17649,0.107036,0.919065
70.4876,67.5,67.0217,4.31791,0.111149,0.955228
67.437,68,67.5083,4.70542,0.115761,0.998428
64.4504,68.5,67.9949,4.90115,0.12055,1.04171
61.5283,69,68.4807,5.10416,0.125804,1.08809
58.6708,69.5,68.9643,5.56949,0.131965,1.14713
55.8783,70,69.4479,5.80385,0.138319,1.20489
53.1512,70.5,69.9284,6.36231,0.14562,1.27265
50.4897,71,70.4068,6.987,0.153885,1.35306
47.8941,71.5,70.885,7.35313,0.162555,1.43402
45.3647,72,71.3583,8.08244,0.174106,1.54451
42.9019,72.5,71.8314,8.51531,0.185578,1.65522
40.5057,73,72.2965,9.4087,0.200936,1.80377
38.1766,73.5,72.7547,10.4459,0.219343,1.9971
35.9147,74,73.2026,11.6764,0.2456,2.25763
