# tgtR,Nbeam
1,1.1295e+08
2,4.08312e+08
3,9.19096e+08
4,1.54108e+09
5,2.21713e+09
6,2.96846e+09
7,3.67554e+09
8,4.34466e+09
9,4.93753e+09
10,5.46376e+09
11,5.93116e+09
12,6.32542e+09
13,6.66079e+09
14,6.95248e+09
15,7.2045e+09
16,7.42701e+09
17,7.62535e+09
18,7.80453e+09
19,7.96775e+09
20,8.11832e+09
21,8.25629e+09
22,8.38581e+09
23,8.50497e+09
24,8.61825e+09
