15,55,70
55.5,264,16.2481
56.5,151,12.2882
57.5,182,13.4907
58.5,201,14.1774
59.5,275,16.5831
60.5,352,18.7617
61.5,449,21.1896
62.5,533,23.0868
63.5,626,25.02
64.5,654,25.5734
65.5,800,28.2843
66.5,994,31.5278
67.5,1251,35.3695
68.5,1428,37.7889
69.5,1699,41.2189
791,4838
15,55,70
55.5,156,12.49
56.5,69,8.30662
57.5,62,7.87401
58.5,93,9.64365
59.5,91,9.53939
60.5,111,10.5357
61.5,133,11.5326
62.5,158,12.5698
63.5,173,13.1529
64.5,200,14.1421
65.5,265,16.2788
66.5,372,19.2873
67.5,438,20.9284
68.5,442,21.0238
69.5,471,21.7025
690,1507
15,55,70
55.5,817,28.5832
56.5,393,19.8242
57.5,383,19.5704
58.5,410,20.2485
59.5,512,22.6274
60.5,652,25.5343
61.5,761,27.5862
62.5,931,30.5123
63.5,1088,32.9848
64.5,1192,34.5254
65.5,1432,37.8418
66.5,1950,44.1588
67.5,2257,47.5079
68.5,2493,49.93
69.5,2859,53.4696
4600,8398
48,-8,8
-7.83333,10,3.16228
-7.5,3,1.73205
-7.16667,4,2
-6.83333,4,2
-6.5,8,2.82843
-6.16667,8,2.82843
-5.83333,7,2.64575
-5.5,2,1.41421
-5.16667,5,2.23607
-4.83333,6,2.44949
-4.5,7,2.64575
-4.16667,6,2.44949
-3.83333,12,3.4641
-3.5,6,2.44949
-3.16667,13,3.60555
-2.83333,5,2.23607
-2.5,5,2.23607
-2.16667,1,1
-1.83333,4,2
-1.5,11,3.31662
-1.16667,5,2.23607
-0.833333,5,2.23607
-0.5,13,3.60555
-0.166667,18,4.24264
0.166667,23,4.79583
0.5,16,4
0.833333,11,3.31662
1.16667,5,2.23607
1.5,1,1
1.83333,3,1.73205
2.16667,4,2
2.5,4,2
2.83333,4,2
3.16667,2,1.41421
3.5,1,1
3.83333,0,0
4.16667,0,0
4.5,3,1.73205
4.83333,1,1
5.16667,1,1
5.5,0,0
5.83333,2,1.41421
6.16667,2,1.41421
6.5,0,0
6.83333,1,1
7.16667,1,1
7.5,0,0
7.83333,0,0
39,0
48,-8,8
-7.83333,19,4.3589
-7.5,5,2.23607
-7.16667,9,3
-6.83333,4,2
-6.5,13,3.60555
-6.16667,8,2.82843
-5.83333,6,2.44949
-5.5,10,3.16228
-5.16667,7,2.64575
-4.83333,2,1.41421
-4.5,6,2.44949
-4.16667,12,3.4641
-3.83333,6,2.44949
-3.5,6,2.44949
-3.16667,5,2.23607
-2.83333,6,2.44949
-2.5,4,2
-2.16667,5,2.23607
-1.83333,8,2.82843
-1.5,10,3.16228
-1.16667,3,1.73205
-0.833333,5,2.23607
-0.5,6,2.44949
-0.166667,6,2.44949
0.166667,2,1.41421
0.5,6,2.44949
0.833333,4,2
1.16667,2,1.41421
1.5,5,2.23607
1.83333,5,2.23607
2.16667,2,1.41421
2.5,5,2.23607
2.83333,3,1.73205
3.16667,3,1.73205
3.5,2,1.41421
3.83333,2,1.41421
4.16667,0,0
4.5,0,0
4.83333,2,1.41421
5.16667,0,0
5.5,1,1
5.83333,1,1
6.16667,0,0
6.5,0,0
6.83333,3,1.73205
7.16667,0,0
7.5,2,1.41421
7.83333,1,1
64,0
48,-8,8
-7.83333,15,3.87298
-7.5,8,2.82843
-7.16667,8,2.82843
-6.83333,7,2.64575
-6.5,10,3.16228
-6.16667,8,2.82843
-5.83333,12,3.4641
-5.5,9,3
-5.16667,7,2.64575
-4.83333,7,2.64575
-4.5,5,2.23607
-4.16667,7,2.64575
-3.83333,8,2.82843
-3.5,10,3.16228
-3.16667,8,2.82843
-2.83333,6,2.44949
-2.5,9,3
-2.16667,6,2.44949
-1.83333,4,2
-1.5,9,3
