#nai_id,c(const),k(slope)
0,0.18431,-0.0036716
1,0.24053,-0.00511444
2,0.0868649,-0.00148365
3,0.554939,-0.0101298
4,0.614456,-0.0110313
5,0.120077,-0.00324094
6,-0.531771,0.00851736
