p_theta,he6_theta
59.8391,6.84921
59.8878,6.83982
59.9364,6.83044
59.9851,6.82103
60.0338,6.81162
60.0825,6.80219
60.1312,6.79276
60.18,6.78331
60.2287,6.77386
60.2774,6.76438
60.3262,6.75491
60.375,6.74541
60.4237,6.73591
60.4725,6.72639
60.5213,6.71687
60.5701,6.70733
60.6189,6.69779
60.6677,6.68823
60.7166,6.67867
60.7654,6.66908
60.8142,6.6595
60.8631,6.64989
60.912,6.64028
60.9608,6.63066
61.0097,6.62103
61.0586,6.61138
61.1075,6.60173
61.1564,6.59206
61.2053,6.58239
61.2543,6.57269
61.3032,6.563
61.3522,6.55329
61.4011,6.54357
61.4501,6.53384
61.4991,6.5241
61.5481,6.51435
61.597,6.50459
61.6461,6.49482
61.6951,6.48504
61.7441,6.47524
61.7931,6.46544
61.8422,6.45562
61.8912,6.4458
61.9403,6.43596
61.9893,6.42613
62.0384,6.41627
62.0875,6.4064
62.1366,6.39652
62.1857,6.38664
62.2348,6.37674
62.284,6.36684
62.3331,6.35692
62.3822,6.347
62.4314,6.33705
62.4805,6.32711
62.5297,6.31715
62.5789,6.30719
62.6281,6.29721
62.6773,6.28722
62.7265,6.27722
62.7757,6.26722
62.8249,6.25719
62.8742,6.24717
62.9234,6.23713
62.9726,6.22709
63.0219,6.21703
63.0712,6.20696
63.1205,6.19688
63.1697,6.1868
63.219,6.1767
63.2683,6.1666
63.3177,6.15647
63.367,6.14635
63.4163,6.13621
63.4656,6.12607
63.515,6.11591
63.5644,6.10575
63.6137,6.09557
63.6631,6.08539
63.7125,6.07519
63.7619,6.065
63.8113,6.05478
63.8607,6.04456
63.9101,6.03432
63.9595,6.02409
64.009,6.01383
64.0584,6.00358
64.1079,5.9933
64.1573,5.98303
64.2068,5.97273
64.2563,5.96244
64.3058,5.95213
64.3553,5.94181
64.4048,5.93148
64.4543,5.92115
64.5038,5.9108
64.5534,5.90046
64.6029,5.89009
64.6525,5.87972
64.702,5.86933
64.7516,5.85895
64.8012,5.84854
64.8508,5.83814
64.9004,5.82772
64.95,5.81729
64.9996,5.80685
65.0492,5.79641
65.0988,5.78595
65.1485,5.77549
65.1981,5.76502
65.2478,5.75454
65.2974,5.74405
65.3471,5.73355
65.3968,5.72304
65.4465,5.71253
65.4962,5.702
65.5459,5.69147
65.5956,5.68092
65.6453,5.67037
65.695,5.65981
65.7448,5.64924
65.7945,5.63866
65.8443,5.62808
65.894,5.61748
65.9438,5.60688
65.9936,5.59626
66.0434,5.58564
66.0932,5.57501
66.143,5.56437
66.1928,5.55372
66.2426,5.54307
66.2925,5.5324
66.3423,5.52173
66.3921,5.51105
66.442,5.50036
66.4919,5.48966
66.5417,5.47896
66.5916,5.46824
66.6415,5.45752
66.6914,5.44678
66.7413,5.43604
66.7912,5.42529
66.8411,5.41454
66.8911,5.40377
66.941,5.393
66.991,5.38221
67.0409,5.37143
67.0909,5.36063
67.1408,5.34982
67.1908,5.33901
67.2408,5.32819
67.2908,5.31735
67.3408,5.30652
67.3908,5.29567
67.4408,5.28482
67.4909,5.27395
67.5409,5.26308
67.5909,5.2522
67.641,5.24132
67.691,5.23042
67.7411,5.21952
67.7912,5.20861
67.8413,5.19769
67.8914,5.18676
67.9415,5.17583
67.9916,5.16488
68.0417,5.15394
68.0918,5.14298
68.1419,5.13202
68.1921,5.12104
68.2422,5.11006
68.2924,5.09907
68.3425,5.08808
68.3927,5.07707
68.4429,5.06606
68.493,5.05504
68.5432,5.04401
68.5934,5.03298
68.6436,5.02194
68.6939,5.01088
68.7441,4.99983
68.7943,4.98876
68.8445,4.97769
68.8948,4.96661
68.945,4.95553
68.9953,4.94443
69.0456,4.93333
69.0958,4.92222
69.1461,4.91111
69.1964,4.89998
69.2467,4.88885
69.297,4.87771
69.3473,4.86657
69.3977,4.85541
69.448,4.84425
69.4983,4.83308
69.5487,4.82191
69.599,4.81072
69.6494,4.79954
69.6997,4.78834
69.7501,4.77714
69.8005,4.76592
69.8509,4.75471
69.9013,4.74348
69.9517,4.73225
70.0021,4.72101
70.0525,4.70977
70.1029,4.69851
70.1534,4.68725
70.2038,4.67598
70.2542,4.66471
70.3047,4.65343
70.3552,4.64215
70.4056,4.63085
70.4561,4.61955
70.5066,4.60824
70.5571,4.59693
70.6076,4.5856
70.6581,4.57428
70.7086,4.56294
70.7591,4.5516
70.8096,4.54025
70.8601,4.52889
70.9107,4.51753
70.9612,4.50616
71.0118,4.49478
71.0623,4.4834
71.1129,4.47201
71.1635,4.46062
71.2141,4.44921
71.2647,4.43781
71.3153,4.42639
71.3659,4.41497
71.4165,4.40354
71.4671,4.39211
71.5177,4.38067
71.5683,4.36922
71.619,4.35776
71.6696,4.34631
71.7203,4.33484
71.7709,4.32337
71.8216,4.31189
71.8722,4.3004
71.9229,4.28891
71.9736,4.27741
72.0243,4.26591
72.075,4.2544
72.1257,4.24288
72.1764,4.23136
72.2271,4.21983
72.2778,4.20829
72.3286,4.19675
72.3793,4.1852
72.4301,4.17365
72.4808,4.16209
72.5316,4.15052
72.5823,4.13895
72.6331,4.12737
72.6839,4.11579
72.7347,4.1042
72.7854,4.0926
72.8362,4.081
72.887,4.06939
72.9379,4.05778
72.9887,4.04616
73.0395,4.03453
73.0903,4.0229
73.1412,4.01126
73.192,3.99962
73.2428,3.98797
73.2937,3.97632
73.3446,3.96465
73.3954,3.95299
73.4463,3.94132
73.4972,3.92964
73.5481,3.91795
73.5989,3.90627
73.6498,3.89457
73.7007,3.88287
73.7517,3.87116
73.8026,3.85946
73.8535,3.84774
73.9044,3.83602
73.9554,3.82428
74.0063,3.81255
74.0572,3.80081
74.1082,3.78907
74.1592,3.77732
74.2101,3.76556
74.2611,3.7538
74.3121,3.74204
74.3631,3.73026
74.414,3.71849
74.465,3.7067
74.516,3.69492
74.567,3.68312
74.6181,3.67132
74.6691,3.65952
74.7201,3.64771
74.7711,3.63589
74.8222,3.62408
74.8732,3.61225
74.9243,3.60042
74.9753,3.58858
75.0264,3.57675
75.0774,3.5649
75.1285,3.55305
75.1796,3.54119
75.2307,3.52933
75.2817,3.51747
75.3328,3.5056
75.3839,3.49372
75.435,3.48184
75.4862,3.46995
75.5373,3.45807
75.5884,3.44617
75.6395,3.43427
75.6907,3.42236
75.7418,3.41045
75.7929,3.39854
75.8441,3.38662
75.8952,3.37469
75.9464,3.36276
75.9976,3.35083
76.0487,3.33889
76.0999,3.32694
76.1511,3.315
76.2023,3.30304
76.2535,3.29108
76.3047,3.27912
76.3559,3.26715
76.4071,3.25518
76.4583,3.2432
76.5095,3.23122
76.5607,3.21924
76.612,3.20724
76.6632,3.19525
76.7144,3.18325
76.7657,3.17125
76.8169,3.15924
76.8682,3.14722
76.9194,3.1352
76.9707,3.12318
77.022,3.11116
77.0733,3.09913
77.1245,3.08709
77.1758,3.07505
77.2271,3.063
77.2784,3.05096
77.3297,3.0389
77.381,3.02685
77.4323,3.01479
77.4836,3.00272
77.535,2.99065
77.5863,2.97858
77.6376,2.9665
77.6889,2.95442
77.7403,2.94233
77.7916,2.93024
77.843,2.91814
77.8943,2.90604
77.9457,2.89394
77.9971,2.88183
78.0484,2.86972
78.0998,2.85761
78.1512,2.84549
78.2026,2.83336
78.2539,2.82123
78.3053,2.80911
78.3567,2.79697
78.4081,2.78483
78.4595,2.77269
78.5109,2.76054
78.5624,2.74839
78.6138,2.73623
78.6652,2.72407
78.7166,2.71191
78.7681,2.69974
78.8195,2.68758
78.8709,2.6754
78.9224,2.66322
78.9738,2.65104
79.0253,2.63886
79.0768,2.62667
79.1282,2.61448
79.1797,2.60228
79.2312,2.59008
79.2826,2.57787
79.3341,2.56567
79.3856,2.55346
79.4371,2.54124
79.4886,2.52902
79.5401,2.5168
79.5916,2.50458
79.6431,2.49235
79.6946,2.48012
79.7461,2.46788
79.7976,2.45564
79.8491,2.4434
79.9007,2.43115
79.9522,2.41891
80.0037,2.40665
80.0553,2.3944
80.1068,2.38214
80.1583,2.36988
80.2099,2.35761
80.2614,2.34534
80.313,2.33307
80.3646,2.32079
80.4161,2.30851
80.4677,2.29623
80.5193,2.28395
80.5708,2.27166
80.6224,2.25937
80.674,2.24707
80.7256,2.23477
80.7772,2.22247
80.8288,2.21017
80.8804,2.19786
80.932,2.18555
80.9836,2.17324
81.0352,2.16092
81.0868,2.1486
81.1384,2.13628
81.19,2.12395
81.2417,2.11162
81.2933,2.09929
81.3449,2.08696
81.3966,2.07462
81.4482,2.06228
81.4998,2.04994
81.5515,2.03759
81.6031,2.02524
81.6548,2.01289
81.7064,2.00054
81.7581,1.98818
81.8098,1.97582
81.8614,1.96346
81.9131,1.95109
81.9648,1.93873
82.0164,1.92636
82.0681,1.91398
82.1198,1.90161
82.1715,1.88923
82.2232,1.87685
82.2748,1.86446
82.3265,1.85208
82.3782,1.83969
82.4299,1.8273
82.4816,1.8149
82.5333,1.80251
82.5851,1.79011
82.6368,1.77771
82.6885,1.7653
82.7402,1.75289
82.7919,1.74048
82.8436,1.72807
82.8954,1.71566
82.9471,1.70324
82.9988,1.69083
83.0506,1.67841
83.1023,1.66598
83.154,1.65356
83.2058,1.64113
83.2575,1.6287
83.3093,1.61627
83.361,1.60383
83.4128,1.5914
83.4645,1.57896
83.5163,1.56652
83.568,1.55407
83.6198,1.54163
83.6716,1.52918
83.7233,1.51673
83.7751,1.50428
83.8269,1.49182
83.8787,1.47937
83.9304,1.46691
83.9822,1.45445
84.034,1.44199
84.0858,1.42953
84.1376,1.41706
84.1894,1.40459
84.2412,1.39212
84.293,1.37965
84.3448,1.36718
84.3966,1.3547
84.4484,1.34222
84.5002,1.32975
84.552,1.31726
84.6038,1.30478
84.6556,1.2923
84.7074,1.27981
84.7592,1.26732
84.811,1.25483
84.8629,1.24234
84.9147,1.22985
84.9665,1.21735
85.0183,1.20486
85.0702,1.19236
85.122,1.17986
85.1738,1.16736
85.2257,1.15485
85.2775,1.14235
85.3293,1.12984
85.3812,1.11733
85.433,1.10482
85.4849,1.09231
85.5367,1.0798
85.5886,1.06729
85.6404,1.05477
85.6923,1.04225
85.7441,1.02974
85.796,1.01722
85.8478,1.00469
85.8997,0.992171
85.9515,0.979648
86.0034,0.967122
86.0553,0.954596
86.1071,0.942068
86.159,0.929539
86.2109,0.917008
86.2627,0.904477
86.3146,0.891943
86.3665,0.87941
86.4184,0.866874
86.4702,0.854338
86.5221,0.841799
86.574,0.829261
86.6259,0.81672
86.6777,0.80418
86.7296,0.791637
86.7815,0.779094
86.8334,0.766549
86.8853,0.754004
86.9372,0.741457
86.9891,0.72891
87.0409,0.716361
87.0928,0.703812
87.1447,0.691261
87.1966,0.67871
87.2485,0.666157
87.3004,0.653604
87.3523,0.641049
87.4042,0.628495
87.4561,0.615938
87.508,0.603382
87.5599,0.590824
87.6118,0.578266
87.6637,0.565706
87.7156,0.553147
87.7675,0.540585
87.8194,0.528024
87.8713,0.515462
87.9232,0.502899
87.9751,0.490335
88.0271,0.477771
88.079,0.465206
88.1309,0.452641
88.1828,0.440074
88.2347,0.427508
88.2866,0.41494
88.3385,0.402372
88.3904,0.389803
88.4424,0.377235
88.4943,0.364665
88.5462,0.352095
88.5981,0.339524
88.65,0.326953
88.7019,0.314382
88.7539,0.30181
88.8058,0.289238
88.8577,0.276665
88.9096,0.264092
88.9615,0.251519
89.0135,0.238945
89.0654,0.226371
89.1173,0.213796
89.1692,0.201221
89.2211,0.188646
89.2731,0.176071
89.325,0.163496
89.3769,0.15092
89.4288,0.138344
89.4808,0.125768
89.5327,0.113192
89.5846,0.100615
89.6365,0.0880385
89.6885,0.0754618
89.7404,0.062885
89.7923,0.0503081
89.8442,0.0377311
89.8962,0.0251541
89.9481,0.0125771
90,1.40E-09
