# tgtR,Nbeam
1,7.94696e+08
2,2.62845e+09
3,5.61473e+09
4,8.81697e+09
5,1.2471e+10
6,1.63133e+10
7,1.91762e+10
8,2.16856e+10
9,2.38423e+10
10,2.55702e+10
11,2.69486e+10
12,2.80349e+10
13,2.89517e+10
14,2.97321e+10
15,3.03553e+10
16,3.09166e+10
17,3.14328e+10
18,3.18663e+10
19,3.22637e+10
20,3.26036e+10
21,3.29369e+10
22,3.32352e+10
23,3.35067e+10
24,3.37551e+10
