#nai_id,c(const),k(slope)
0,-0.740776,0.0103416
1,0.0884096,-0.00256658
2,0.289132,-0.00550801
3,0.0408425,-0.0017881
4,0.382587,-0.00705878
5,-0.587752,0.00769975
6,-0.527314,0.00727779
