# tgtR,Nbeam
1,1.26326e+08
2,4.59938e+08
3,1.03053e+09
4,1.7237e+09
5,2.47777e+09
6,3.31294e+09
7,4.09712e+09
8,4.84388e+09
9,5.50244e+09
10,6.0917e+09
11,6.61181e+09
12,7.05297e+09
13,7.43118e+09
14,7.76205e+09
15,8.04941e+09
16,8.30352e+09
17,8.53054e+09
18,8.73469e+09
19,8.92384e+09
20,9.0971e+09
21,9.25748e+09
22,9.40758e+09
23,9.54421e+09
24,9.67682e+09
