#p_theta,sigma
49,0.152033
54.5,0.152033
55.5,0.152033
56.5,0.152033
57.5,0.1546445
58.5,0.161702
59.5,0.1630715
60.5,0.16838
61.5,0.134161
62.5,0.11159305
63.5,0.09878545
64.5,0.08924875
65.5,0.0938066
66.5,0.09566795
67.5,0.0998819
68.5,0.128788
69.5,0.1339795
70.5,0.134137
71.5,0.14
75.5,0.15
