# tgtR,Nbeam
1,6.21608e+08
2,2.05017e+09
3,4.37132e+09
4,6.8629e+09
5,9.7113e+09
6,1.2712e+10
7,1.49437e+10
8,1.69001e+10
9,1.858e+10
10,1.99267e+10
11,2.1e+10
12,2.18454e+10
13,2.25575e+10
14,2.31624e+10
15,2.36445e+10
16,2.40796e+10
17,2.44781e+10
18,2.4813e+10
19,2.51205e+10
20,2.53832e+10
21,2.56413e+10
22,2.58715e+10
23,2.60812e+10
24,2.62732e+10
