53.5	28.5651	177.686	19.9459	0.164852	0.168832	0.34264	
54.5	9.44456	177.975	13.8612	0.182214	0.316284	0.499531	
55.5	6.98545	177.401	12.547	0.188106	0.397646	0.585531	
56.5	9.601	178.395	8.58032	0.234796	0.210957	0.311157	
57.5	12.6623	178.344	7.91873	0.231192	0.15057	0.199449	
58.5	20.5884	177.666	5.90571	0.317811	0.0793049	0.143716	
59.5	22.5756	177.9	6.97593	0.259473	0.0786848	0.115759	
60.5	36.3557	178.177	5.10005	0.298474	0.0417354	0.0593906	
61.5	40.2355	177.886	5.55549	0.291666	0.0393633	0.0582038	
62.5	47.5188	177.873	5.33399	0.305522	0.0328389	0.0507022	
63.5	49.4425	177.906	6.4836	0.267931	0.0346783	0.0504538	
64.5	54.2878	177.567	7.23745	0.246038	0.0334357	0.0458016	
65.5	62.0707	177.527	8.42652	0.221474	0.0316959	0.0411221	
66.5	74.5137	177.455	8.16644	0.224644	0.0259381	0.0334833	
67.5	82.58	177.516	7.71238	0.232451	0.0226723	0.0295733	
68.5	88.8934	177.12	7.85895	0.222001	0.0212902	0.025547	
69.5	100.065	177.372	6.99541	0.239839	0.0177775	0.0222593	
70.5	95.9505	177.46	7.28752	0.23499	0.0189362	0.0237258	
71.5	82.4339	176.897	7.58942	0.226629	0.0225383	0.027217	
72.5	49.9024	176.928	8.21958	0.215671	0.038896	0.0460222	
