A_4He,E_4He,A_p,E_p
0,0,51.7904,170.208
0,0,51.8912,169.362
0,0,51.9919,168.518
0,0,52.0927,167.674
0,0,52.1935,166.831
0,0,52.2943,165.99
0,0,52.3951,165.15
0,0,52.4959,164.312
0,0,52.5967,163.475
0,0,52.6975,162.639
0,0,52.7983,161.805
0,0,52.8992,160.973
0,0,53,160.142
0,0,53.1008,159.312
0,0,53.2017,158.483
0,0,53.3025,157.656
0,0,53.4034,34.8744
0,0,53.5042,34.1841
0,0,53.6051,33.944
0,0,53.706,33.2638
0,0,53.8068,33.0444
0,0,53.9077,32.3789
0,0,54.0086,32.1812
0,0,54.1095,31.5272
0,0,54.2104,31.3507
0,0,54.3112,30.7102
0,0,54.4121,30.561
0,0,54.513,29.9275
0,0,54.614,29.2252
0,0,54.7149,29.0314
0,0,54.8159,28.3461
0,0,54.9168,28.1808
0,0,55.0178,27.5277
0,0,55.1187,27.4745
0,0,55.2197,26.9106
0,0,55.3206,26.889
0,0,55.4216,26.3462
0,0,55.5225,26.3543
0,0,55.6235,25.8321
0,0,55.7245,25.869
0,0,55.8255,25.3721
0,0,55.9265,24.8863
0,0,56.0275,24.9745
0,0,56.1285,24.5135
0,0,56.2295,24.6343
0,0,56.3305,24.202
0,0,56.4315,24.3567
0,0,56.5325,23.9536
0,0,56.6336,24.1408
0,0,56.7346,23.766
0,0,56.8357,23.9854
0,0,56.9367,23.6417
0,0,57.0378,23.8963
0,0,57.1389,23.5838
0,0,57.24,23.2841
0,0,57.3411,23.5903
0,0,57.4422,23.326
0,0,57.5433,23.6255
0,0,57.6444,23.2976
0,0,57.7456,23.5757
0,0,57.8468,23.2836
0,0,57.9479,23.5958
0,0,58.0491,23.3812
0,0,58.1502,23.8158
0,0,58.2514,23.6839
0,0,58.3526,24.1489
0,0,58.4538,24.0513
0,0,58.555,23.9696
0,0,58.6562,24.4778
0,0,58.7574,24.4276
0,0,58.8586,24.9597
0,0,58.9598,24.9432
0,0,59.061,25.4996
0,0,59.1623,25.5142
0,0,59.2635,26.0903
0,0,59.3647,26.1331
0,0,59.466,26.7292
0,0,59.5673,26.7985
0,0,59.6686,27.4069
0,0,59.7699,27.505
0,0,59.8712,28.1335
0,0,59.9724,28.2581
0,0,60.0738,28.8413
0,0,60.1753,28.9066
0,0,60.2767,28.9874
0,0,60.3781,29.5801
0,0,60.4795,29.6881
