A_p,CM angle
0.0390004,179.91
0.0780008,179.82
0.117001,179.73
0.156002,179.64
0.195002,179.55
0.234003,179.46
0.273003,179.37
0.312004,179.28
0.351005,179.19
0.390006,179.1
0.429007,179.01
0.468008,178.92
0.507009,178.83
0.546011,178.74
0.585013,178.65
0.624014,178.56
0.663016,178.47
0.702019,178.38
0.741021,178.29
0.780024,178.2
0.819027,178.11
0.85803,178.02
0.897033,177.93
0.936037,177.84
0.975041,177.75
1.01405,177.66
1.05305,177.57
1.09205,177.48
1.13106,177.39
1.17007,177.3
1.20907,177.21
1.24808,177.12
1.28708,177.03
1.32609,176.94
1.3651,176.85
1.40411,176.76
1.44312,176.67
1.48212,176.58
1.52113,176.49
1.56014,176.4
1.59915,176.31
1.63816,176.22
1.67718,176.13
1.71619,176.04
1.7552,175.95
1.79421,175.86
1.83323,175.77
1.87224,175.68
1.91125,175.59
1.95027,175.5
1.98928,175.41
2.0283,175.32
2.06732,175.23
2.10634,175.14
2.14535,175.05
2.18437,174.96
2.22339,174.87
2.26241,174.78
2.30143,174.69
2.34045,174.6
2.37948,174.51
2.4185,174.42
2.45752,174.33
2.49655,174.24
2.53557,174.15
2.5746,174.06
2.61363,173.97
2.65265,173.88
2.69168,173.79
2.73071,173.7
2.76974,173.61
2.80877,173.52
2.8478,173.43
2.88684,173.34
2.92587,173.25
2.96491,173.16
3.00394,173.07
3.04298,172.98
3.08201,172.89
3.12105,172.8
3.16009,172.71
3.19913,172.62
3.23817,172.53
3.27722,172.44
3.31626,172.35
3.3553,172.26
3.39435,172.17
3.43339,172.08
3.47244,171.99
3.51149,171.9
3.55054,171.81
3.58959,171.72
3.62864,171.63
3.66769,171.54
3.70675,171.45
3.7458,171.36
3.78486,171.27
3.82392,171.18
3.86297,171.09
3.90203,171
3.9411,170.91
3.98016,170.82
4.01922,170.73
4.05828,170.64
4.09735,170.55
4.13642,170.46
4.17549,170.37
4.21455,170.28
4.25363,170.19
4.2927,170.1
4.33177,170.01
4.37085,169.92
4.40992,169.83
4.449,169.74
4.48808,169.65
4.52716,169.56
4.56624,169.47
4.60532,169.38
4.64441,169.29
4.68349,169.2
4.72258,169.11
4.76167,169.02
4.80076,168.93
4.83985,168.84
4.87895,168.75
4.91804,168.66
4.95714,168.57
4.99623,168.48
5.03533,168.39
5.07443,168.3
5.11354,168.21
5.15264,168.12
5.19174,168.03
5.23085,167.94
5.26996,167.85
5.30907,167.76
5.34818,167.67
5.3873,167.58
5.42641,167.49
5.46553,167.4
5.50465,167.31
5.54377,167.22
5.58289,167.13
5.62201,167.04
5.66114,166.95
5.70026,166.86
5.73939,166.77
5.77852,166.68
5.81766,166.59
5.85679,166.5
5.89593,166.41
5.93506,166.32
5.9742,166.23
6.01334,166.14
6.05249,166.05
6.09163,165.96
6.13078,165.87
6.16993,165.78
6.20908,165.69
6.24823,165.6
6.28739,165.51
6.32654,165.42
6.3657,165.33
6.40486,165.24
6.44402,165.15
6.48319,165.06
6.52235,164.97
6.56152,164.88
6.60069,164.79
6.63986,164.7
6.67904,164.61
6.71821,164.52
6.75739,164.43
6.79657,164.34
6.83575,164.25
6.87494,164.16
6.91413,164.07
6.95331,163.98
6.99251,163.89
7.0317,163.8
7.07089,163.71
7.11009,163.62
7.14929,163.53
7.18849,163.44
7.2277,163.35
7.2669,163.26
7.30611,163.17
7.34532,163.08
7.38453,162.99
7.42375,162.9
7.46297,162.81
7.50218,162.72
7.54141,162.63
7.58063,162.54
7.61986,162.45
7.65908,162.36
7.69832,162.27
7.73755,162.18
7.77679,162.09
7.81602,162
7.85526,161.91
7.89451,161.82
7.93375,161.73
7.973,161.64
8.01225,161.55
8.0515,161.46
8.09076,161.37
8.13002,161.28
8.16928,161.19
8.20854,161.1
8.2478,161.01
8.28707,160.92
8.32634,160.83
8.36561,160.74
8.40489,160.65
8.44417,160.56
8.48345,160.47
8.52273,160.38
8.56202,160.29
8.6013,160.2
8.6406,160.11
8.67989,160.02
8.71918,159.93
8.75848,159.84
8.79778,159.75
8.83709,159.66
8.8764,159.57
8.9157,159.48
8.95502,159.39
8.99433,159.3
9.03365,159.21
9.07297,159.12
9.11229,159.03
9.15162,158.94
9.19095,158.85
9.23028,158.76
9.26961,158.67
9.30895,158.58
9.34829,158.49
9.38763,158.4
9.42698,158.31
9.46633,158.22
9.50568,158.13
9.54503,158.04
9.58439,157.95
9.62375,157.86
9.66311,157.77
9.70248,157.68
9.74185,157.59
9.78122,157.5
9.82059,157.41
9.85997,157.32
9.89935,157.23
9.93874,157.14
9.97812,157.05
10.0175,156.96
10.0569,156.87
10.0963,156.78
10.1357,156.69
10.1751,156.6
10.2145,156.51
10.2539,156.42
10.2933,156.33
10.3327,156.24
10.3722,156.15
10.4116,156.06
10.451,155.97
10.4904,155.88
10.5299,155.79
10.5693,155.7
10.6087,155.61
10.6482,155.52
10.6876,155.43
10.7271,155.34
10.7665,155.25
10.806,155.16
10.8454,155.07
10.8849,154.98
10.9243,154.89
10.9638,154.8
11.0033,154.71
11.0428,154.62
11.0822,154.53
11.1217,154.44
11.1612,154.35
11.2007,154.26
11.2402,154.17
11.2797,154.08
11.3192,153.99
11.3587,153.9
11.3982,153.81
11.4377,153.72
11.4772,153.63
11.5167,153.54
11.5562,153.45
11.5957,153.36
11.6353,153.27
11.6748,153.18
11.7143,153.09
11.7538,153
11.7934,152.91
11.8329,152.82
11.8725,152.73
11.912,152.64
11.9516,152.55
11.9911,152.46
12.0307,152.37
12.0703,152.28
12.1098,152.19
12.1494,152.1
12.189,152.01
12.2285,151.92
12.2681,151.83
12.3077,151.74
12.3473,151.65
12.3869,151.56
12.4265,151.47
12.4661,151.38
12.5057,151.29
12.5453,151.2
12.5849,151.11
12.6245,151.02
12.6642,150.93
12.7038,150.84
12.7434,150.75
12.783,150.66
12.8227,150.57
12.8623,150.48
12.902,150.39
12.9416,150.3
12.9812,150.21
13.0209,150.12
13.0606,150.03
13.1002,149.94
13.1399,149.85
13.1796,149.76
13.2192,149.67
13.2589,149.58
13.2986,149.49
13.3383,149.4
13.378,149.31
13.4177,149.22
13.4574,149.13
13.4971,149.04
13.5368,148.95
13.5765,148.86
13.6162,148.77
13.6559,148.68
13.6956,148.59
13.7354,148.5
13.7751,148.41
13.8148,148.32
13.8546,148.23
13.8943,148.14
13.9341,148.05
