# tgtR,Nbeam
1,2.43e+08
2,8.8172e+08
3,1.98008e+09
4,3.31591e+09
5,4.76793e+09
6,6.37913e+09
7,7.89364e+09
8,9.33113e+09
9,1.06017e+10
10,1.17345e+10
11,1.27366e+10
12,1.35845e+10
13,1.43085e+10
14,1.49403e+10
15,1.54876e+10
16,1.59711e+10
17,1.64026e+10
18,1.67916e+10
19,1.71489e+10
20,1.74772e+10
21,1.77798e+10
22,1.80634e+10
23,1.83227e+10
24,1.8572e+10
