tke,eff_theta,meas_theta,de_target,de_chamber,de_air
223.567,49,49.2514,1.11322,0.0475713,0.411391
218.559,49.5,49.7545,1.13056,0.0483013,0.416797
213.587,50,50.2578,1.14777,0.0490259,0.42213
208.655,50.5,50.7611,1.16484,0.0497448,0.427386
203.763,51,51.2646,1.18178,0.0504579,0.43266
198.911,51.5,51.7682,1.30003,0.0511714,0.438812
194.102,52,52.2718,1.32196,0.0520469,0.445536
189.336,52.5,52.7755,1.3437,0.0529146,0.452167
184.614,53,53.2794,1.36523,0.0537742,0.458805
179.936,53.5,53.7833,1.38723,0.0546732,0.465826
175.306,54,54.2874,1.41258,0.0556659,0.47355
170.723,54.5,54.7916,1.43781,0.0566644,0.481453
166.186,55,55.296,1.5792,0.0576532,0.490122
161.699,55.5,55.8005,1.60946,0.0587108,0.498618
157.261,56,56.3051,1.64136,0.0598978,0.508151
152.874,56.5,56.8098,1.67342,0.0610735,0.517548
148.538,57,57.3147,1.70767,0.0623384,0.527876
144.253,57.5,57.8198,1.74381,0.0636258,0.538296
140.022,58,58.3252,1.90828,0.0649153,0.549886
135.844,58.5,58.8306,1.9511,0.0663948,0.562041
131.72,59,59.3362,1.99341,0.0678714,0.574428
127.651,59.5,59.842,2.04114,0.069533,0.588095
123.638,60,60.3482,2.22978,0.071095,0.602304
119.68,60.5,60.8545,2.28353,0.0728791,0.617327
115.779,61,61.361,2.34136,0.0747256,0.632825
111.936,61.5,61.8677,2.39847,0.0765877,0.648707
108.151,62,62.3747,2.46429,0.0787108,0.666688
104.424,62.5,62.8823,2.6914,0.0807381,0.685151
100.756,63,63.3899,2.76431,0.0830353,0.705189
97.1482,63.5,63.8978,2.84578,0.0854953,0.726079
93.6003,64,64.4065,3.10046,0.0878642,0.748044
90.113,64.5,64.9151,3.19323,0.090742,0.773192
86.6868,65,65.4242,3.2971,0.0936508,0.798512
83.3221,65.5,65.9343,3.59102,0.0965459,0.825913
80.0194,66,66.4443,3.70982,0.100046,0.856425
76.7791,66.5,66.9548,3.83783,0.103491,0.886511
73.6017,67,67.4666,4.17649,0.107036,0.920506
70.4876,67.5,67.9784,4.31791,0.111149,0.956724
67.437,68,68.4917,4.70542,0.115761,1.00044
64.4504,68.5,69.0051,4.90115,0.12055,1.04404
61.5283,69,69.5194,5.10416,0.125804,1.09076
58.6708,69.5,70.0358,5.56949,0.131965,1.15021
55.8783,70,70.5522,5.80385,0.138319,1.20839
53.1512,70.5,71.0717,6.36231,0.14562,1.27663
50.4897,71,71.5933,6.987,0.153885,1.35791
47.8941,71.5,72.1151,7.35313,0.162555,1.43981
45.3647,72,72.6418,8.08244,0.174106,1.55108
42.9019,72.5,73.1688,8.51531,0.185578,1.66302
40.5057,73,73.7037,9.4087,0.200936,1.81352
38.1766,73.5,74.2455,10.4459,0.219343,2.00842
35.9147,74,74.7977,11.6764,0.2456,2.27258
