A_p,CM angle
14.2605,147.87
14.3009,147.78
14.3413,147.69
14.3817,147.6
14.4221,147.51
14.4625,147.42
14.5029,147.33
14.5434,147.24
14.5838,147.15
14.6242,147.06
14.6647,146.97
14.7051,146.88
14.7455,146.79
14.786,146.7
14.8264,146.61
14.8669,146.52
14.9074,146.43
14.9478,146.34
14.9883,146.25
15.0288,146.16
15.0692,146.07
15.1097,145.98
15.1502,145.89
15.1907,145.8
15.2312,145.71
15.2717,145.62
15.3122,145.53
15.3527,145.44
15.3932,145.35
15.4337,145.26
15.4742,145.17
15.5147,145.08
15.5553,144.99
15.5958,144.9
15.6363,144.81
15.6769,144.72
15.7174,144.63
15.758,144.54
15.7985,144.45
15.8391,144.36
15.8796,144.27
15.9202,144.18
15.9607,144.09
16.0013,144
16.0419,143.91
16.0825,143.82
16.1231,143.73
16.1636,143.64
16.2042,143.55
16.2448,143.46
16.2854,143.37
16.326,143.28
16.3666,143.19
16.4073,143.1
16.4479,143.01
16.4885,142.92
16.5291,142.83
16.5698,142.74
16.6104,142.65
16.651,142.56
16.6917,142.47
16.7323,142.38
16.773,142.29
16.8136,142.2
16.8543,142.11
16.895,142.02
16.9356,141.93
16.9763,141.84
17.017,141.75
17.0577,141.66
17.0984,141.57
17.139,141.48
17.1797,141.39
17.2204,141.3
17.2612,141.21
17.3019,141.12
17.3426,141.03
17.3833,140.94
17.424,140.85
17.4648,140.76
17.5055,140.67
17.5462,140.58
17.587,140.49
17.6277,140.4
17.6685,140.31
17.7092,140.22
17.75,140.13
17.7908,140.04
17.8315,139.95
17.8723,139.86
17.9131,139.77
17.9539,139.68
17.9947,139.59
18.0355,139.5
18.0763,139.41
18.1171,139.32
18.1579,139.23
18.1987,139.14
18.2395,139.05
18.2803,138.96
18.3211,138.87
18.362,138.78
18.4028,138.69
18.4437,138.6
18.4845,138.51
18.5254,138.42
18.5662,138.33
18.6071,138.24
18.6479,138.15
18.6888,138.06
18.7297,137.97
18.7706,137.88
18.8115,137.79
18.8523,137.7
18.8932,137.61
18.9341,137.52
18.975,137.43
19.016,137.34
19.0569,137.25
19.0978,137.16
19.1387,137.07
19.1796,136.98
19.2206,136.89
19.2615,136.8
19.3025,136.71
19.3434,136.62
19.3844,136.53
19.4253,136.44
19.4663,136.35
19.5073,136.26
19.5482,136.17
19.5892,136.08
19.6302,135.99
19.6712,135.9
19.7122,135.81
19.7532,135.72
19.7942,135.63
19.8352,135.54
19.8762,135.45
19.9173,135.36
19.9583,135.27
19.9993,135.18
20.0404,135.09
20.0814,135
20.1224,134.91
20.1635,134.82
20.2046,134.73
20.2456,134.64
20.2867,134.55
20.3278,134.46
20.3688,134.37
20.4099,134.28
20.451,134.19
20.4921,134.1
20.5332,134.01
20.5743,133.92
20.6154,133.83
20.6565,133.74
20.6977,133.65
20.7388,133.56
20.7799,133.47
20.8211,133.38
20.8622,133.29
20.9034,133.2
